"genus","sp","date","lat","long","taxize","plot"
"Ocotea","laevis","07.04.1995",-18.5018,48.4716833333333,"Ocotea laevis",376
"Cryptocarya","louvelii","07.04.1995",-18.5018,48.4716833333333,"Cryptocarya louvelii",376
"Potameia","incisa","07.04.1995",-18.5018,48.4716833333333,"Potameia incisa",376
"Ilex","mitis","07.04.1995",-18.5018,48.4716833333333,"Ilex mitis",376
"Bridelia","tulasneana","07.04.1995",-18.5018,48.4716833333333,"Bridelia tulasneana",376
"Manilkara","hexandra","07.04.1995",-18.5018,48.4716833333333,"Manilkara hexandra",376
"Cassinopsis","madagascariensis","07.04.1995",-18.5018,48.4716833333333,"Cassinopsis madagascariensis",376
"Domohinea","perrieri","07.04.1995",-18.5018,48.4716833333333,"Domohinea perrieri",376
"Ravensara","polyneura","07.04.1995",-18.5018,48.4716833333333,"Ravensara polyneura",376
"Manilkara","hexandra","07.04.1995",-18.5018,48.4716833333333,"Manilkara hexandra",376
"Ilex","mitis","07.04.1995",-18.5018,48.4716833333333,"Ilex mitis",376
"Dracaena","reflexa","07.04.1995",-18.5018,48.4716833333333,"Dracaena reflexa",376
"Potameia","incisa","07.04.1995",-18.5018,48.4716833333333,"Potameia incisa",376
"Pachytrophe","dimepate","07.04.1995",-18.5018,48.4716833333333,"Pachytrophe dimepate",376
"Xylopia","buxifolia","07.04.1995",-18.5018,48.4716833333333,"Xylopia buxifolia",376
"Bridelia","tulasneana","07.04.1995",-18.5018,48.4716833333333,"Bridelia tulasneana",376
"Manilkara","laciniata","07.04.1995",-18.5018,48.4716833333333,"Manilkara laciniata",376
"Sarcolaena",NA,"07.04.1995",-18.5018,48.4716833333333,"Sarcolaena NA",376
"Chrysophyllum","boivinianum","07.04.1995",-18.5018,48.4716833333333,"Chrysophyllum boivinianum",376
"Neodypsis","lastelliana","08.04.1995",-18.5017997643485,48.4811560984769,"Neodypsis lastelliana",375
"Dombeya","lucida","08.04.1995",-18.5017997643485,48.4811560984769,"Dombeya lucida",375
"Chrysophyllum","boivinianum","08.04.1995",-18.5017997643485,48.4811560984769,"Chrysophyllum boivinianum",375
"Dombeya","lucida","08.04.1995",-18.5017997643485,48.4811560984769,"Dombeya lucida",375
"Brachylaena","merana","08.04.1995",-18.5017997643485,48.4811560984769,"Brachylaena merana",375
"Dombeya","lucida","08.04.1995",-18.5017997643485,48.4811560984769,"Dombeya lucida",375
"Chrysophyllum","boivinianum","08.04.1995",-18.5017997643485,48.4811560984769,"Chrysophyllum boivinianum",375
"Dichaetanthera",NA,"08.04.1995",-18.4928168471588,48.4716833333333,"Dichaetanthera NA",373
"Dichaetanthera","cordifolia","08.04.1995",-18.4928168471588,48.4716833333333,"Dichaetanthera cordifolia",373
"Ravensara","polyneura","08.04.1995",-18.4928168471588,48.4716833333333,"Ravensara polyneura",373
"Tambourissa","trichophylla","08.04.1995",-18.4928168471588,48.4716833333333,"Tambourissa trichophylla",373
"Symphonia","fasciculata","08.04.1995",-18.4928168471588,48.4716833333333,"Symphonia fasciculata",373
"Eugenia","urschiana","08.04.1995",-18.4928168471588,48.4716833333333,"Eugenia urschiana",373
"Brachylaena","merana","08.04.1995",-18.4928168471588,48.4716833333333,"Brachylaena merana",373
"Canarium","madagascariense","08.04.1995",-18.4928168471588,48.4716833333333,"Canarium madagascariense",373
"Bridelia","tulasneana","08.04.1995",-18.4928168471588,48.4716833333333,"Bridelia tulasneana",373
"Breonia","madagascariensis","08.04.1995",-18.4928168471588,48.4716833333333,"Breonia madagascariensis",373
"Antidesma","petiolare","08.04.1995",-18.4928168471588,48.4716833333333,"Antidesma petiolare",373
"Ocotea","laevis","08.04.1995",-18.4928168471588,48.4716833333333,"Ocotea laevis",373
"Breonia","sinensis","08.04.1995",-18.4928168471588,48.4716833333333,"Breonia sinensis",373
"Ilex","mitis","08.04.1995",-18.4928168471588,48.4716833333333,"Ilex mitis",373
"Canarium","madagascariense","07.04.1995",-18.5107831528412,48.4716833333333,"Canarium madagascariense",379
